time,latitude,longitude,depth,mag,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp,reflect_latitude,reflect_longitude
20200803124552700000,17.04,147.36,10.0,5.06,5.28e+16,-1.29e+16,-3.99e+16,-7.99e+15,6.95e+15,-9.36e+15,27.0,142.94
20200804093737100000,38.19,38.7,10.0,5.56,-1.08e+16,-2.26e+17,2.36e+17,1.02e+17,-2.38e+16,1.05e+17,49.74,88.79
20200804124718700000,54.72,-161.15,35.0,5.18,5.62e+16,-4.28e+16,-1.34e+16,3.42e+16,1.75e+16,-3.9e+16,49.91,162.83
20200804163118900000,-12.56,166.62,70.0,5.66,3.7e+17,-3.33e+17,-3.7e+16,-1.11e+17,-1.21e+17,5.63e+16,12.43,153.64
20200804175058500000,-5.75,148.29,170.8,5.35,6.6e+15,-7.08e+16,6.42e+16,1.13e+17,-3.53e+16,-1.13e+16,15.4,143.6
20200805082712000000,-9.69,119.11,10.0,5.25,-6.87e+16,8.93e+16,-2.06e+16,1.59e+16,4.74e+16,-4.7e+15,13.72,127.41
20200805084806000000,87.39,7.07,10.0,5.13,7.11e+16,-4.38e+16,-2.73e+16,-1.53e+16,6.69e+15,-1.06e+16,64.23,135.09
20200805120536300000,-16.09,168.08,178.9,6.48,1.12e+18,-1.51e+17,-9.7e+17,-5.63e+18,-3.54e+18,2.28e+17,10.5,154.4
20200805161741100000,54.57,-161.05,8.7,5.22,-1.73e+16,6.74e+16,-5.01e+16,-3.35e+16,2.7e+16,-4.87e+16,49.85,162.9
20200805175402300000,36.14,141.85,28.0,5.41,1.06e+17,-3.39e+16,-7.21e+16,4.7e+16,1.12e+17,-5.39e+16,36.49,139.77
20200806030633700000,37.42,138.67,165.3,5.2,3.01e+16,-3.93e+16,9.19e+15,-4e+16,-4.87e+16,-3.8e+16,37.11,138.17
20200806124630600000,-26.41,-177.4,109.8,5.06,-2.13e+16,-1.95e+16,4.07e+16,-2.54e+16,-2.29e+16,-2.59e+15,5.48,161.54
20200806153444200000,33.75,136.78,376.3,5.24,7.43e+15,1.64e+16,-2.38e+16,1.68e+16,-8.33e+16,-2.45e+16,35.24,137.2
20200807030039700000,-3.86,126.21,10.0,5.42,1.46e+16,-1.02e+17,8.73e+16,2.94e+16,-2.79e+16,1.34e+17,16.54,131.3
20200807043941700000,-22.61,173.21,44.0,5.1,3.85e+16,-5.12e+16,1.26e+16,3.08e+16,9.55e+15,6.61e+15,7.4,156.76
20200807063048700000,2.3,126.73,51.4,5.0,4.26e+16,-9.4e+15,-3.32e+16,1.05e+15,-1.13e+16,-4.79e+15,19.59,131.58
20200807115136100000,54.25,168.95,10.0,5.03,-2.59e+15,-3.94e+16,4.2e+16,-1.19e+16,-7.66e+15,-8.22e+15,46.58,150.8
20200808101749500000,-9.66,119.09,10.0,5.01,-2.38e+16,3.64e+16,-1.26e+16,2.78e+16,1.67e+15,-2.39e+15,13.73,127.4
20200808104549200000,-9.78,118.99,10.0,5.41,-6.88e+16,1.76e+17,-1.07e+17,3.7e+15,-5.14e+16,-5.2e+16,13.67,127.35
20200808125259300000,54.92,-158.43,19.9,5.48,5.65e+16,-4.46e+16,-1.19e+16,1.33e+17,1.4e+17,-5.62e+16,50.39,163.79
20200808144253300000,54.71,-161.1,32.8,5.49,1.67e+17,-1.6e+17,-7.6e+15,9.79e+16,4.67e+16,-1.03e+17,49.92,162.85
20200809145754500000,55.15,-158.13,32.2,5.14,4.86e+16,-4.12e+16,-7.44e+15,3.4e+16,1.65e+16,-2.56e+16,50.55,163.82
20200811072641600000,11.97,124.2,10.0,5.07,-5.69e+15,5.01e+16,-4.45e+16,-1.15e+16,-6.51e+15,-1.3e+16,24.53,130.25
20200811105337200000,-28.09,-176.47,10.0,5.08,3.8e+16,-7.49e+15,-3.05e+16,9e+15,3.7e+16,-1.04e+16,4.72,161.77
20200811234242300000,-23.91,-175.57,10.0,5.15,5.36e+16,-7e+15,-4.66e+16,1.65e+16,3.77e+16,-1.31e+16,7.0,162.69
20200812102618300000,1.41,126.4,19.2,5.11,4.89e+16,1.49e+16,-6.38e+16,-9.21e+15,2.4e+14,2.85e+15,19.18,131.4
20200812173001900000,48.8,154.83,42.7,5.11,5.64e+16,-4.63e+16,-1.02e+16,2.92e+15,1.95e+16,-1.84e+16,43.13,145.42
20200812223238300000,19.89,121.28,10.0,5.42,8.9e+16,1.92e+16,-1.08e+17,-7.15e+16,-1.11e+17,-3.55e+16,28.59,128.8
20200812224045800000,28.04,65.96,14.0,5.67,-1.08e+16,-1.18e+17,1.29e+17,-6.18e+16,-1.82e+17,-3.27e+17,38.06,99.78
20200813064000600000,53.43,-163.71,28.0,5.64,2.31e+17,-2.02e+17,-2.93e+16,2.34e+17,9.79e+16,-1.33e+17,48.94,162.3
20200814091142500000,-24.32,-175.81,10.0,5.16,5.37e+16,-1.05e+16,-4.31e+16,1.69e+16,4.28e+16,-1.87e+16,6.78,162.52
20200815045838300000,-15.15,-173.17,10.0,5.0,-9.04e+15,6.72e+15,2.32e+15,-3.78e+16,1.07e+16,-4.61e+15,11.86,164.69
20200815071211900000,-9.33,114.05,55.2,5.13,4.95e+16,-5.02e+16,7.1e+14,3.22e+16,-1.4e+16,1.38e+16,13.96,124.58
20200816025305800000,20.34,122.2,12.8,5.05,-1.47e+15,3.86e+16,-3.72e+16,8.98e+15,8.93e+15,-2.51e+16,28.78,129.31
20200816062630800000,1.68,122.98,422.7,5.27,7.4e+15,3.13e+16,-3.87e+16,7.93e+16,3.8e+15,5.84e+16,18.93,129.32
20200816072230800000,6.48,123.47,586.1,5.29,-2.66e+16,-9.3e+15,3.59e+16,-3.05e+16,-9.51e+16,2.9e+16,21.17,129.52
